year,insurance_type,region,earned_premium,incurred_loss
2022,Cancer Insurance,Ohio,4069934,3115143
2020,Indemnity Health,New York,9623327,7941607
2024,Long-term Care,North Carolina,4430001,4293507
2018,Critical Illness,Ohio,4868387,3519156
2024,Indemnity Health,Texas,7622162,6244275
2022,Critical Illness,California,10910615,10123405
2019,Indemnity Health,Wisconsin,3100035,3026709
2024,Dental & Vision,Maryland,4495315,4018756
2020,Long-term Care,Missouri,3329401,3563814
2022,Accident Insurance,Texas,11927620,8860382
2021,Dental & Vision,New York,10764498,9366483
2022,Critical Illness,Tennessee,3212526,2489687
2024,Dental & Vision,Indiana,2391231,2206480
2015,Critical Illness,Pennsylvania,6534244,3482837
2015,Indemnity Health,Wisconsin,3827856,3893320
2019,Indemnity Health,Virginia,3232110,3239705
2023,Long-term Care,Georgia,3592319,3501514
2018,Indemnity Health,New York,8356559,7795909
2024,Accident Insurance,Tennessee,3826211,2706654
2015,Long-term Care,Indiana,3312254,3700145
2022,Long-term Care,Pennsylvania,5083115,6026579
2024,Indemnity Health,Florida,9214254,7355527
2020,Dental & Vision,Massachusetts,4367084,4063014
2022,Long-term Care,Arizona,4174666,4456061
2016,Cancer Insurance,Florida,9973760,8407383
2021,Cancer Insurance,Wisconsin,3304989,2207365
2022,Indemnity Health,Pennsylvania,6842124,5906922
2020,Indemnity Health,New York,12614676,11005002
2022,Long-term Care,Virginia,3229053,3434049
2020,Indemnity Health,Arizona,4699667,4473077
2018,Dental & Vision,New York,12282762,9545950
2015,Dental & Vision,Maryland,4341905,2928152
2021,Cancer Insurance,Texas,11915082,8561957
2021,Long-term Care,Washington,5662043,6934126
2022,Indemnity Health,New Jersey,5306385,5472514
2015,Critical Illness,Missouri,4167368,2634023
2015,Dental & Vision,New Jersey,6234870,4977729
2023,Accident Insurance,Washington,5033693,3986191
2021,Dental & Vision,Michigan,3041986,2463488
2015,Indemnity Health,Illinois,5063257,4342302
2022,Cancer Insurance,Illinois,6674847,4567628
2016,Critical Illness,Michigan,3384559,2284350
2018,Long-term Care,Illinois,5095748,4271203
2020,Accident Insurance,California,9915990,8443916
2017,Cancer Insurance,New Jersey,6177260,4099266
2021,Accident Insurance,Massachusetts,5956179,5193835
2018,Long-term Care,Massachusetts,4364421,5007677
2019,Cancer Insurance,North Carolina,4071024,2639080
2017,Indemnity Health,Arizona,4062939,3679115
2015,Long-term Care,Missouri,2579701,2355524
2019,Long-term Care,Virginia,3619660,3692519
2017,Dental & Vision,Florida,6185065,5865433
2018,Long-term Care,Florida,8840249,9228786
2023,Dental & Vision,New York,11088287,10669890
2015,Long-term Care,Arizona,4237483,3811590
2021,Cancer Insurance,Massachusetts,4781971,3715267
2022,Critical Illness,Ohio,4667420,2839260
2024,Critical Illness,Texas,11570409,8087378
2021,Indemnity Health,Indiana,3848734,3553558
2018,Critical Illness,Texas,9747449,5502063
2019,Cancer Insurance,Indiana,3748335,2631073
2022,Accident Insurance,Illinois,5194399,4070759
2022,Critical Illness,Texas,9562047,6383062
2024,Cancer Insurance,New Jersey,5926880,4206704
2019,Critical Illness,Tennessee,4452372,3512540
2021,Critical Illness,Wisconsin,3106655,2287300
2015,Long-term Care,Arizona,3515180,3606393
2022,Cancer Insurance,Missouri,3158586,2251298
2023,Accident Insurance,North Carolina,4009098,3329786
2017,Cancer Insurance,Ohio,3683533,3004623
2024,Cancer Insurance,North Carolina,4209191,2847515
2020,Accident Insurance,Missouri,3931872,3413409
2016,Accident Insurance,Tennessee,4100219,3771328
2024,Cancer Insurance,New Jersey,4734310,3019316
2017,Critical Illness,Michigan,4411406,2350874
2023,Dental & Vision,North Carolina,4574244,4635481
2020,Accident Insurance,Missouri,3225759,2480254
2017,Long-term Care,Florida,9905240,10760737
2021,Accident Insurance,Indiana,3875932,2473337
2023,Accident Insurance,Indiana,3911754,2890950
2021,Indemnity Health,Ohio,5614800,4686926
2023,Long-term Care,Florida,6045150,6342506
2016,Dental & Vision,Georgia,5453822,4247148
2020,Long-term Care,Washington,5928700,5215286
2020,Critical Illness,Tennessee,3427592,2716336
2020,Cancer Insurance,Arizona,3276774,2412969
2019,Indemnity Health,Virginia,4458718,3350569
2020,Cancer Insurance,Maryland,5185706,3810950
2021,Dental & Vision,Massachusetts,3649991,2896717
2019,Long-term Care,New Jersey,6102767,6034252
2020,Indemnity Health,New York,9404345,8505442
2021,Indemnity Health,Massachusetts,5374769,4502456
2017,Indemnity Health,North Carolina,5427290,5622928
2015,Indemnity Health,North Carolina,5781656,5169738
2022,Cancer Insurance,Indiana,3795597,3638161
2018,Long-term Care,Tennessee,2631689,2511098
2022,Indemnity Health,Michigan,3832227,3562208
2018,Accident Insurance,Illinois,5571300,4477162
2017,Dental & Vision,Wisconsin,3348979,2544857
2017,Accident Insurance,Michigan,4292827,3697428
2020,Dental & Vision,Maryland,3868646,3457908
2021,Cancer Insurance,New Jersey,5571764,4863098
2016,Critical Illness,Indiana,3934719,3088740
2016,Dental & Vision,Maryland,3154073,2156593
2024,Indemnity Health,North Carolina,5261244,5625793
2022,Cancer Insurance,Missouri,2621133,1785766
2020,Critical Illness,Tennessee,4148005,3277281
2020,Long-term Care,Washington,4817369,4105230
2019,Accident Insurance,Arizona,4416933,4050232
2016,Dental & Vision,California,9548426,6966011
2024,Indemnity Health,Tennessee,3040008,2984882
2016,Cancer Insurance,Missouri,3598620,2174937
2017,Critical Illness,New Jersey,5441589,4176713
2019,Dental & Vision,Pennsylvania,4586321,3437682
2023,Critical Illness,Indiana,3518134,2514486
2020,Cancer Insurance,Maryland,4384022,2616654
2021,Accident Insurance,Michigan,3510950,2391128
2015,Accident Insurance,Pennsylvania,5843622,4185170
2016,Indemnity Health,New York,12453682,9065143
2024,Long-term Care,California,14718780,15700427
2020,Indemnity Health,Texas,7555507,6939226
2016,Cancer Insurance,Massachusetts,4696225,4367180
2024,Indemnity Health,Texas,11181455,12664569
2015,Long-term Care,Ohio,5896983,6534197
2019,Indemnity Health,Arizona,4471297,4029046
2018,Critical Illness,Michigan,3650981,2604726
2023,Critical Illness,Illinois,6963757,4556748
2018,Dental & Vision,North Carolina,4928928,3598016
2023,Indemnity Health,Pennsylvania,6418349,5683968
2021,Cancer Insurance,Arizona,3624402,2488143
2017,Dental & Vision,New Jersey,4051154,2616536
2022,Dental & Vision,Georgia,3377600,2890986
2024,Dental & Vision,Michigan,3261022,2928386
2016,Critical Illness,Florida,9248964,5785515
2020,Indemnity Health,Georgia,3787078,3365715
2018,Indemnity Health,Texas,7865907,7437443
2021,Indemnity Health,New Jersey,4037065,4175579
2024,Dental & Vision,Virginia,3394882,2713811
2020,Indemnity Health,New Jersey,5695486,6176360
2018,Indemnity Health,Indiana,2882588,2827366
2016,Long-term Care,North Carolina,4712019,5946522
2024,Dental & Vision,Michigan,4492486,3639231
2021,Dental & Vision,Arizona,2883441,2560032
2017,Dental & Vision,California,11300419,10020852
2019,Indemnity Health,Illinois,6954000,7307335
2019,Indemnity Health,New York,12583359,11863121
2019,Cancer Insurance,New York,8636257,7421394
2024,Cancer Insurance,Maryland,3077133,2624118
2022,Cancer Insurance,Maryland,3222641,2279607
2023,Critical Illness,Pennsylvania,6755243,5659410
2023,Indemnity Health,Massachusetts,5172317,5990148
2020,Long-term Care,Pennsylvania,5383667,5228207
2016,Indemnity Health,Michigan,3590175,3043700
2015,Accident Insurance,Texas,8335536,7619567
2021,Indemnity Health,New Jersey,4746854,5227446
2017,Indemnity Health,Indiana,2318808,2320403
2015,Critical Illness,Maryland,4741410,3762624
2024,Indemnity Health,New York,8324893,7463197
2015,Critical Illness,New Jersey,5943849,3396903
2019,Accident Insurance,North Carolina,3993873,2989029
2024,Critical Illness,Texas,11266102,9217620
2018,Long-term Care,Arizona,4915160,5992520
2016,Indemnity Health,Michigan,3456919,2566735
2020,Cancer Insurance,Illinois,6936596,4925203
2021,Indemnity Health,California,13952109,12427404
2015,Dental & Vision,Texas,11740332,8320551
2020,Accident Insurance,Illinois,5575460,5394074
2019,Dental & Vision,New Jersey,4762735,3971036
2020,Long-term Care,California,12351673,13442708
2020,Accident Insurance,Michigan,3133210,2321996
2021,Indemnity Health,Wisconsin,3093787,3296901
2024,Accident Insurance,New Jersey,3966122,3317223
2017,Indemnity Health,Indiana,3954706,3781915
2023,Accident Insurance,Michigan,4118246,3846096
2020,Indemnity Health,Maryland,3706871,3586303
2023,Dental & Vision,Massachusetts,5594999,4502431
2019,Dental & Vision,California,12124858,9314144
2017,Cancer Insurance,Pennsylvania,4568226,3121844
2019,Accident Insurance,Illinois,7072884,5896708
2022,Cancer Insurance,Ohio,5481973,2959828
2019,Cancer Insurance,North Carolina,5275573,4533350
2023,Critical Illness,New Jersey,6188610,5255745
2016,Critical Illness,Florida,7649735,5021831
2015,Accident Insurance,Missouri,3745485,3310067
2021,Dental & Vision,Indiana,3616442,3126562
2024,Dental & Vision,Arizona,4020956,3675045
2023,Long-term Care,New Jersey,5685437,5956265
2019,Critical Illness,Pennsylvania,6330718,4056199
2018,Indemnity Health,New Jersey,5364184,4870481
2022,Indemnity Health,Wisconsin,2745852,2398905
2019,Indemnity Health,Texas,8646136,6699736
2022,Accident Insurance,Illinois,6945290,6147290
2020,Cancer Insurance,Maryland,4698946,4180565
2021,Cancer Insurance,Maryland,3848748,2707320
2020,Long-term Care,Massachusetts,4539418,5803990
2024,Dental & Vision,Michigan,3047699,2161016
2017,Cancer Insurance,Pennsylvania,5819506,4798631
2024,Critical Illness,Michigan,4644053,3333197
2018,Indemnity Health,North Carolina,3951539,4222968
2024,Critical Illness,Washington,4511100,4032826
2015,Cancer Insurance,North Carolina,3880514,2453336
2021,Long-term Care,Washington,4113627,5060745
2019,Indemnity Health,New York,10066542,9031575
2016,Indemnity Health,New Jersey,5899812,5919262
2018,Dental & Vision,Ohio,4813156,4220202
2015,Long-term Care,Pennsylvania,6081150,5682981
2024,Critical Illness,Massachusetts,4582630,3962539
2021,Dental & Vision,Florida,9184498,6647262
2021,Long-term Care,Illinois,7482177,9636217
2017,Critical Illness,Massachusetts,3847398,2276048
2019,Critical Illness,California,13196963,8328357
2023,Long-term Care,Washington,4848860,4718352
2017,Critical Illness,California,14254441,11397371
2023,Indemnity Health,Massachusetts,5756822,6300402
2018,Cancer Insurance,Indiana,2444903,1781512
2024,Accident Insurance,Missouri,3584590,3501004
2017,Dental & Vision,Wisconsin,3644387,2843519
2023,Dental & Vision,Tennessee,4293616,3891218
2015,Long-term Care,Ohio,5815483,5406191
2018,Cancer Insurance,New York,10450814,8410161
2024,Long-term Care,North Carolina,5663972,6770731
2018,Cancer Insurance,North Carolina,3644054,3017449
2022,Indemnity Health,Washington,3990634,4250273
2015,Cancer Insurance,Georgia,4643990,2856139
2020,Cancer Insurance,Maryland,4786896,2730740
2018,Cancer Insurance,Massachusetts,3794671,2448998
2019,Dental & Vision,Indiana,3084324,2218737
2024,Accident Insurance,Wisconsin,4103602,3388397
2024,Indemnity Health,Maryland,3838657,3790205
2020,Cancer Insurance,Georgia,4506594,4088690
2015,Indemnity Health,Ohio,5848321,5828487
2021,Cancer Insurance,Arizona,3242245,1951766
2023,Dental & Vision,Indiana,3558923,3152149
2017,Dental & Vision,Washington,5955742,5066051
2018,Dental & Vision,Ohio,3843580,3228355
2024,Critical Illness,Wisconsin,2680038,2255696
2019,Accident Insurance,Maryland,4786954,3270028
2022,Dental & Vision,California,14653627,11334990
2019,Long-term Care,North Carolina,4691463,5075976
2020,Dental & Vision,Massachusetts,4415990,4156136
2015,Accident Insurance,Michigan,4536040,3984328
2021,Dental & Vision,New Jersey,5166484,3744004
2022,Critical Illness,Illinois,5187304,3541068
2020,Cancer Insurance,Massachusetts,6047691,4326791
2023,Dental & Vision,Tennessee,2575769,2345596
2015,Indemnity Health,Missouri,4021232,3551198
2024,Cancer Insurance,New Jersey,4356237,3856269
2017,Long-term Care,Missouri,2498337,2769295
2022,Accident Insurance,New Jersey,4932841,4727614
2019,Accident Insurance,Ohio,4132985,2914306
2017,Critical Illness,Indiana,3370865,2854742
2018,Accident Insurance,New Jersey,5537781,4708180
2018,Cancer Insurance,Massachusetts,5906168,5165134
2015,Dental & Vision,Michigan,4499959,3371383
2018,Critical Illness,Maryland,4703493,2530653
2024,Dental & Vision,Georgia,3218973,2855627
2015,Long-term Care,Pennsylvania,5736522,5752208
2023,Cancer Insurance,North Carolina,3883292,2299925
2019,Critical Illness,New York,11714973,10392910
2019,Dental & Vision,New Jersey,4556063,3527116
2023,Dental & Vision,Tennessee,3685674,3345324
2016,Cancer Insurance,Florida,6204188,5013705
2021,Dental & Vision,Washington,5566583,4999352
2022,Cancer Insurance,New Jersey,4389535,3251444
2019,Accident Insurance,Massachusetts,4883719,3841063
2022,Critical Illness,Pennsylvania,4257412,3431207
2015,Cancer Insurance,Michigan,3601629,3123511
2018,Indemnity Health,Maryland,5067771,5144009
2015,Dental & Vision,Wisconsin,3968458,2497669
2018,Long-term Care,New York,11254391,12625607
2022,Indemnity Health,North Carolina,4929226,5690677
2016,Indemnity Health,Massachusetts,3693266,3815339
2023,Accident Insurance,Illinois,6193421,4448844
2024,Critical Illness,Michigan,4172109,3057280
2023,Critical Illness,Indiana,2926142,1814846
2015,Indemnity Health,Tennessee,3954739,3584922
2018,Dental & Vision,North Carolina,5772971,3681481
2015,Cancer Insurance,North Carolina,3624215,2654092
2022,Accident Insurance,Illinois,6279690,5080384
2020,Accident Insurance,Arizona,3333544,2940788
2020,Accident Insurance,California,14713094,13411387
2020,Cancer Insurance,New Jersey,4054890,3104321
2022,Critical Illness,Massachusetts,5224768,3690546
2015,Critical Illness,Washington,5269226,3842367
2022,Dental & Vision,Pennsylvania,4179254,3463165
2024,Long-term Care,Indiana,3419580,3734129
2021,Critical Illness,Texas,8018071,5496682
2020,Long-term Care,Illinois,6109419,7702127
2018,Accident Insurance,Michigan,4560494,3498541
2022,Critical Illness,Wisconsin,2934808,1854372
2015,Indemnity Health,Missouri,3099499,2695323
2020,Cancer Insurance,Georgia,4366132,3166770
2024,Indemnity Health,Georgia,4330263,4560610
2021,Dental & Vision,Maryland,4444465,4332943
2021,Cancer Insurance,Pennsylvania,5630246,4658007
2021,Long-term Care,Pennsylvania,6402588,6202224
2015,Accident Insurance,Illinois,6110979,5618231
2024,Cancer Insurance,California,10085277,7442163
2022,Dental & Vision,Arizona,4643988,4394163
2015,Accident Insurance,Michigan,3278328,2039117
2019,Dental & Vision,Virginia,5015220,4470929
2024,Critical Illness,Ohio,5936539,3737857
2019,Indemnity Health,Ohio,4360329,4492179
2020,Indemnity Health,Washington,5136253,5052723
2016,Cancer Insurance,Washington,5930820,4424662
2017,Long-term Care,Indiana,2592073,2693726
2015,Critical Illness,Washington,4484097,3512264
2018,Dental & Vision,California,12169466,8958642
2023,Indemnity Health,Illinois,5894496,6472357
2024,Indemnity Health,Indiana,2959949,2375092
2017,Dental & Vision,Virginia,4331326,3592686
2018,Cancer Insurance,New Jersey,5013250,2900867
2015,Critical Illness,Virginia,5074560,4039005
2019,Indemnity Health,Washington,4944320,4809860
2018,Indemnity Health,California,13363507,13641125
2017,Indemnity Health,Missouri,3047972,2166854
2023,Accident Insurance,Arizona,3570030,3161109
2017,Indemnity Health,North Carolina,5069990,4751869
2018,Indemnity Health,Washington,4767941,4468346
2022,Critical Illness,Massachusetts,3683471,2484725
2024,Dental & Vision,New York,8567232,6164251
2022,Critical Illness,New York,9291730,6361796
2024,Cancer Insurance,Virginia,5032800,4657223
2022,Long-term Care,Massachusetts,5194591,6079479
2021,Dental & Vision,Pennsylvania,5805894,4486642
2019,Cancer Insurance,Massachusetts,3875077,2656787
2024,Accident Insurance,Pennsylvania,4464619,3913343
2021,Long-term Care,Michigan,4953196,6051202
2017,Dental & Vision,California,9815646,6324573
2016,Long-term Care,Arizona,4886761,4016928
2021,Cancer Insurance,Maryland,5197192,4890274
2021,Dental & Vision,Ohio,4800360,3941062
2021,Critical Illness,Wisconsin,4163754,2545721
2021,Dental & Vision,Maryland,3562881,3071524
2022,Accident Insurance,Indiana,2933639,2834965
2021,Dental & Vision,Illinois,5622529,4294789
2019,Long-term Care,Illinois,5930531,5358866
2023,Indemnity Health,Tennessee,3320178,3483444
2015,Long-term Care,Tennessee,3439730,3028989
2018,Indemnity Health,Ohio,4813251,4216578
2015,Critical Illness,Pennsylvania,5385063,4038071
2020,Cancer Insurance,Texas,10829458,7890103
2024,Dental & Vision,Indiana,2982678,2904769
2015,Indemnity Health,Washington,5549244,4803877
2022,Cancer Insurance,North Carolina,4941339,4403613
2016,Accident Insurance,Pennsylvania,6017288,4074532
2022,Long-term Care,Virginia,5474962,5253437
2016,Accident Insurance,New York,10062873,6441787
2024,Accident Insurance,Arizona,4451541,2737875
2022,Indemnity Health,Georgia,4847721,4722762
2024,Dental & Vision,Maryland,4680498,3780017
2015,Cancer Insurance,Indiana,2972502,1855844
2019,Accident Insurance,New Jersey,4103920,3071298
2020,Indemnity Health,New Jersey,6238680,5017742
2019,Cancer Insurance,Florida,9808833,7220649
2022,Critical Illness,Maryland,4886550,4245872
2020,Indemnity Health,New Jersey,4788178,3793015
2017,Critical Illness,Washington,5186922,2764668
2023,Cancer Insurance,Massachusetts,4111629,3778656
2019,Accident Insurance,Missouri,4180191,3526693
2022,Indemnity Health,California,9770670,10241955
2022,Accident Insurance,Georgia,3008077,2224709
2024,Dental & Vision,Indiana,3999643,3691034
2017,Critical Illness,Texas,11300944,9855937
2017,Critical Illness,Pennsylvania,6629734,3842947
2017,Long-term Care,Washington,3712895,3944045
2016,Indemnity Health,Massachusetts,5009149,4685526
2020,Critical Illness,Georgia,3804064,3388853
2020,Cancer Insurance,Washington,4581593,2851551
2018,Dental & Vision,Texas,11602859,11167046
2016,Cancer Insurance,Ohio,5244764,4648009
2019,Long-term Care,Texas,8140511,8196345
2022,Indemnity Health,Michigan,4902273,4781547
2021,Accident Insurance,Massachusetts,4692938,4438952
2018,Long-term Care,Florida,6822391,7276696
2019,Dental & Vision,Wisconsin,3931269,2948331
2016,Dental & Vision,Wisconsin,3821474,3528396
2022,Dental & Vision,Virginia,4365304,3923705
2022,Dental & Vision,North Carolina,3890062,3088224
2022,Cancer Insurance,Missouri,3282530,3158843
2020,Accident Insurance,Illinois,7340192,5581960
2018,Indemnity Health,Massachusetts,4758399,3649323
2022,Indemnity Health,Maryland,3246031,2819415
2024,Dental & Vision,Virginia,3261794,3201787
2015,Long-term Care,Illinois,5158941,4360681
2024,Critical Illness,Washington,3697359,1966703
2019,Accident Insurance,Virginia,3872630,2483437
2023,Dental & Vision,Indiana,3629450,2740878
2017,Cancer Insurance,New York,11005817,6871824
2021,Indemnity Health,California,13242789,10369467
2024,Indemnity Health,Missouri,3774630,3146997
2017,Cancer Insurance,North Carolina,5471209,5082023
2019,Long-term Care,Maryland,4744981,4189118
2021,Critical Illness,Indiana,2424195,1260762
2015,Long-term Care,Florida,9318689,10137177
2023,Cancer Insurance,Georgia,3185228,1814526
2024,Accident Insurance,California,11503785,8515988
2020,Accident Insurance,Indiana,2376739,2024081
2022,Dental & Vision,North Carolina,3957736,3123258
2024,Critical Illness,Indiana,3829574,3547088
2024,Cancer Insurance,Virginia,4810604,3243544
2018,Dental & Vision,Tennessee,3075292,2278023
2020,Cancer Insurance,California,10332850,6368269
2018,Indemnity Health,New Jersey,4333482,3945913
2017,Indemnity Health,Maryland,5085377,5007843
2015,Indemnity Health,Arizona,3230283,3294703
2019,Accident Insurance,Pennsylvania,4389338,3039124
2018,Long-term Care,Washington,5260690,5558972
2015,Indemnity Health,Tennessee,3229727,2681586
2023,Long-term Care,Missouri,2699915,2615175
2018,Long-term Care,Ohio,3971885,4593644
2020,Indemnity Health,Wisconsin,3884258,2968346
2019,Accident Insurance,Ohio,3700950,3327527
2018,Dental & Vision,Maryland,5100495,4643746
2015,Critical Illness,Georgia,3579101,2933498
2024,Long-term Care,Texas,11043082,13605545
2015,Dental & Vision,Texas,11262602,10613679
2019,Cancer Insurance,Missouri,2768596,2118140
2023,Indemnity Health,Florida,7601793,6600134
2018,Cancer Insurance,Texas,9192698,7345032
2016,Accident Insurance,North Carolina,3767653,2582915
2023,Cancer Insurance,Arizona,3878484,3337344
2016,Accident Insurance,Missouri,2829167,2195793
2024,Indemnity Health,Indiana,3830649,3471430
2020,Accident Insurance,Maryland,3841780,2847011
2023,Accident Insurance,California,13858702,11721342
2020,Indemnity Health,Georgia,4464742,4326570
2015,Cancer Insurance,Missouri,3476264,2367322
2020,Indemnity Health,Massachusetts,4576629,4488220
2016,Indemnity Health,Pennsylvania,6081753,4495087
2024,Long-term Care,Michigan,4831397,6227385
2024,Cancer Insurance,Michigan,4643320,3472916
2018,Accident Insurance,Tennessee,3094407,2799299
2016,Long-term Care,Wisconsin,2720966,2436343
2022,Accident Insurance,Missouri,3605905,2734566
2016,Cancer Insurance,North Carolina,4896619,4301338
2022,Accident Insurance,Illinois,5981364,5506069
2023,Cancer Insurance,Virginia,4135956,3902760
2018,Dental & Vision,Massachusetts,6011609,4963173
2023,Long-term Care,Indiana,2310383,2498623
2021,Indemnity Health,Michigan,3033336,2618164
2024,Accident Insurance,Ohio,3924288,3112815
2024,Dental & Vision,Ohio,4232008,3612363
2024,Cancer Insurance,New York,8473713,5758082
2017,Long-term Care,Washington,3584002,3235844
2016,Long-term Care,Georgia,5310548,4890665
2016,Dental & Vision,Wisconsin,4073731,2690470
2015,Accident Insurance,Washington,4026591,2426683
2020,Cancer Insurance,Virginia,3755228,2956384
2022,Dental & Vision,Washington,5515039,4341449
2016,Long-term Care,Wisconsin,4092605,4842299
2024,Cancer Insurance,Tennessee,3918486,2761487
2016,Accident Insurance,Virginia,5488359,4521997
2024,Cancer Insurance,Arizona,3281201,2029752
2018,Critical Illness,Missouri,2645838,1464667
2024,Dental & Vision,Texas,11846896,10338097
2024,Critical Illness,Massachusetts,5854797,4620366
2016,Long-term Care,Missouri,4086155,3925291
2019,Critical Illness,Tennessee,3623353,2643801
2021,Critical Illness,Washington,4718867,3720940
2021,Critical Illness,California,10613404,7400785
2015,Dental & Vision,Arizona,3116738,2714733
2021,Critical Illness,Virginia,4879111,2662619
2017,Cancer Insurance,Texas,9816013,8008912
2022,Critical Illness,New York,9116268,5081368
2019,Cancer Insurance,New Jersey,6199471,4169908
2019,Long-term Care,Ohio,5151898,5705249
2021,Critical Illness,North Carolina,4010631,2617563
2021,Critical Illness,Missouri,3663197,2604060
2015,Dental & Vision,Missouri,3728277,2977532
2018,Accident Insurance,Massachusetts,4990104,4340429
2019,Cancer Insurance,Michigan,4599345,3802574
2018,Long-term Care,Florida,6076699,5657053
2024,Cancer Insurance,Wisconsin,2876260,1840504
2024,Critical Illness,North Carolina,4494346,2605342
2024,Dental & Vision,Wisconsin,3830616,3270409
2021,Dental & Vision,New York,10323989,9753236
2024,Long-term Care,Illinois,5051217,5074249
2015,Accident Insurance,Massachusetts,5207118,3523877
2017,Dental & Vision,Washington,4589928,3441003
2023,Indemnity Health,Arizona,3219343,3408488
2023,Indemnity Health,Arizona,4153189,3159847
2016,Cancer Insurance,Maryland,4500485,3173403
2023,Indemnity Health,New York,8460917,8829206
2015,Cancer Insurance,Tennessee,3267426,1716050
2023,Indemnity Health,Michigan,3297822,3165615
2016,Long-term Care,Michigan,3888840,4294316
2021,Long-term Care,New York,9091197,9892678
2017,Indemnity Health,Texas,8324793,7335134
2022,Critical Illness,Tennessee,3323002,1672341
2018,Cancer Insurance,Ohio,5886898,5033397
2016,Indemnity Health,Georgia,4576103,3405726
2015,Critical Illness,Florida,7219085,5094992
2023,Critical Illness,Georgia,4432765,3737643
2023,Indemnity Health,Missouri,3393398,3334141
2015,Long-term Care,California,11551940,13574936
2017,Long-term Care,New Jersey,6133236,6298660
2018,Dental & Vision,Ohio,5283524,4933728
2021,Indemnity Health,Washington,5890415,5962311
2015,Cancer Insurance,Virginia,3535833,2273666
2020,Dental & Vision,Maryland,4724806,4396297
2019,Accident Insurance,Michigan,3360144,3239463
2020,Indemnity Health,Arizona,4740991,5118278
2024,Cancer Insurance,New York,12990556,11038092
2018,Dental & Vision,Missouri,3448428,2916770
2020,Critical Illness,California,12192159,9473779
2022,Long-term Care,California,9382903,9732331
2018,Indemnity Health,Georgia,3489258,2630770
2018,Long-term Care,Arizona,4243060,4639229
2018,Indemnity Health,Massachusetts,5883638,5276198
2021,Indemnity Health,Pennsylvania,6024308,5200528
2021,Accident Insurance,Arizona,3894457,3466425
2020,Critical Illness,Pennsylvania,5888378,3437950
2017,Cancer Insurance,Illinois,7395249,4374685
2023,Long-term Care,Pennsylvania,6670423,7961043
2022,Accident Insurance,Maryland,3952673,2410534
2019,Cancer Insurance,Tennessee,3399593,2856584
2019,Critical Illness,Massachusetts,5245559,3373714
2015,Long-term Care,North Carolina,4041909,4434503
2016,Long-term Care,Washington,4043233,4178817
2024,Long-term Care,Massachusetts,4483961,5298806
2015,Dental & Vision,North Carolina,5259433,5009136
2015,Accident Insurance,Maryland,3302130,1907837
2019,Dental & Vision,Indiana,3022950,2330388
2015,Accident Insurance,Maryland,4253553,3815729
2021,Indemnity Health,Virginia,4411394,3762393
2023,Critical Illness,California,12726855,10427838
2018,Dental & Vision,Arizona,4466444,2916397
2024,Long-term Care,Illinois,4518973,4447038
2017,Critical Illness,Ohio,4265007,2207927
2021,Critical Illness,Massachusetts,4174633,2858781
2017,Critical Illness,Ohio,4471521,3685486
2019,Accident Insurance,Michigan,4465071,4386256
2019,Long-term Care,Michigan,4317912,4417555
2015,Long-term Care,California,11736796,10871142
2017,Dental & Vision,Missouri,4198288,2759651
2021,Accident Insurance,Texas,11854922,9226913
2019,Indemnity Health,Pennsylvania,4017057,4120214
2016,Accident Insurance,Missouri,2615384,1702096
2016,Dental & Vision,Arizona,3071233,2500368
2021,Long-term Care,Georgia,4840576,5246158
2017,Accident Insurance,Georgia,4491374,3513692
2015,Critical Illness,Illinois,6401991,4224615
2023,Cancer Insurance,Indiana,3615535,3215558
2015,Critical Illness,North Carolina,3690771,3093243
2024,Dental & Vision,Illinois,6557523,5462982
2015,Cancer Insurance,Ohio,3672061,2726407
2021,Critical Illness,Ohio,4723231,2690435
2019,Long-term Care,Pennsylvania,6082762,7050829
2018,Critical Illness,Ohio,4741440,4053596
2018,Accident Insurance,North Carolina,5755979,3775198
2015,Dental & Vision,Ohio,5865412,4417873
2016,Long-term Care,Arizona,4098314,4625356
2016,Long-term Care,New York,9612100,11252095
2022,Indemnity Health,Pennsylvania,4097464,3882711
2015,Cancer Insurance,Missouri,2777192,2258452
2022,Long-term Care,North Carolina,4983944,4842374
2024,Dental & Vision,Wisconsin,3419928,2667197
2016,Indemnity Health,Wisconsin,2833284,2829577
2015,Dental & Vision,Illinois,5702458,3920033
2015,Dental & Vision,Florida,6014568,5530770
2023,Long-term Care,Michigan,4161645,4595561
2021,Long-term Care,Florida,7776451,8126267
2022,Accident Insurance,Maryland,4989177,3286885
2023,Cancer Insurance,Michigan,3288371,1996382
2018,Accident Insurance,Missouri,2882766,2091338
2018,Indemnity Health,Pennsylvania,5555873,5650088
2022,Critical Illness,California,12148760,10269076
2024,Critical Illness,Missouri,4023617,3231584
2017,Critical Illness,Illinois,5189010,3625041
2022,Cancer Insurance,Arizona,4142531,3455679
2023,Dental & Vision,New Jersey,4444928,3266334
2018,Accident Insurance,Massachusetts,6122538,5914585
2020,Cancer Insurance,Virginia,4281754,3388240
2015,Long-term Care,Pennsylvania,4998227,4714991
2016,Cancer Insurance,Washington,4578681,2891610
2017,Long-term Care,Texas,9369816,9282298
2016,Critical Illness,Wisconsin,3294383,2525384
2017,Accident Insurance,Arizona,3410866,3307603
2018,Dental & Vision,Pennsylvania,5577354,4629949
2017,Cancer Insurance,Missouri,3187077,2720310
